City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Rincon,US,2021-02-16 19:56:16,32.296,-81.2354,60.8,44,1,14.97
263,Rovaniemi,FI,2021-02-16 19:56:16,66.5,25.7167,1.4,85,0,3.44
264,Jijiga,ET,2021-02-16 19:56:17,9.35,42.8,60.67,67,4,1.7
265,Sur,OM,2021-02-16 19:56:17,22.5667,59.5289,70.32,69,0,10.11
266,Nemuro,JP,2021-02-16 19:56:18,43.3236,145.575,25.63,88,100,30.78
267,Mount Isa,AU,2021-02-16 19:56:19,-20.7333,139.5,77.0,78,90,8.05
268,Burgeo,CA,2021-02-16 19:56:19,47.6167,-57.6152,23.95,97,100,5.79
269,Tessalit,ML,2021-02-16 19:56:20,20.1986,1.0114,76.26,18,0,22.91
270,Nyurba,RU,2021-02-16 19:56:20,63.2842,118.3319,-32.94,82,0,3.8
271,Kitimat,CA,2021-02-16 19:53:43,54.0524,-128.6534,26.6,93,75,2.3
272,Carnarvon,AU,2021-02-16 19:56:21,-24.8667,113.6333,77.0,100,67,17.27
273,Amudat,UG,2021-02-16 19:56:22,1.95,34.95,74.57,42,100,11.61
274,Mount Gambier,AU,2021-02-16 19:56:23,-37.8333,140.7667,69.8,52,44,9.22
275,Valdivia,CL,2021-02-16 19:56:23,-39.8142,-73.2459,69.8,49,0,13.8
276,Longyan,CN,2021-02-16 19:56:24,25.1072,117.0225,53.33,87,31,3.38
277,Cabedelo,BR,2021-02-16 19:56:24,-6.9811,-34.8339,84.2,74,75,12.66
278,Praia,CV,2021-02-16 19:56:24,14.9215,-23.5087,80.6,29,75,12.66
279,Port-Gentil,GA,2021-02-16 19:56:24,-0.7193,8.7815,82.4,83,40,2.3
280,Kawalu,ID,2021-02-16 19:56:25,-7.3817,108.2082,73.92,88,99,1.16
281,Plattsburgh,US,2021-02-16 19:56:25,44.6995,-73.4529,30.99,93,90,5.59
282,Mammaste,EE,2021-02-16 19:56:26,58.068,27.0474,14.0,73,90,11.5
283,San Basilio,PH,2021-02-16 19:56:28,15.0335,120.5837,71.6,88,40,2.3
284,Srednekolymsk,RU,2021-02-16 19:56:28,67.45,153.6833,-14.94,89,99,4.43
285,Cayenne,GF,2021-02-16 19:51:58,4.9333,-52.3333,82.4,61,0,11.5
286,Clyde River,CA,2021-02-16 19:56:28,70.4692,-68.5914,-18.4,76,20,5.75
287,Hay River,CA,2021-02-16 19:56:28,60.8156,-115.7999,-11.2,70,96,4.61
288,Ancud,CL,2021-02-16 19:56:29,-41.8697,-73.8203,64.99,52,40,8.05
289,Marabba,SD,2021-02-16 19:56:30,12.35,32.1833,85.19,13,90,11.07
290,Laramie,US,2021-02-16 19:56:30,41.3114,-105.5911,32.0,46,1,14.97
291,Pacific Grove,US,2021-02-16 19:56:31,36.6177,-121.9166,57.0,66,20,6.91
292,San Jeronimo,PE,2021-02-16 19:56:31,-11.9472,-75.2829,66.02,29,64,6.51
